#{"t_start": 1764620712.246473, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,652,11.343354
2.0,878,18.466644
0.0,530,24.398733
3.0,1095,36.013505
2.0,818,46.697402
2.0,899,53.525594
1.0,633,59.370484
1.0,698,71.708475
1.0,614,79.81369
0.0,536,81.976978
0.0,541,89.546386
0.0,515,97.211986
2.0,902,111.891839
2.0,809,118.325506
0.0,523,123.937438
0.0,534,129.554463
5.0,1427,146.046848
0.0,531,151.442271
1.0,722,161.898287
0.0,516,167.952951
0.0,536,173.320079
2.0,810,180.544909
0.0,532,187.737554
0.0,529,194.965724
4.0,1304,211.180641
4.0,1212,231.746849
9.0,1630,254.607111
2.0,801,263.392139
0.0,516,270.726547
4.0,1280,286.873833
10.0,1824,316.137486
0.0,517,323.552541
5.0,1410,340.47666
0.0,536,351.953238
0.0,503,359.268409
3.0,1085,374.617209
2.0,888,388.883651
2.0,922,397.769234
3.0,1022,408.786547
0.0,531,414.182343
2.0,809,421.097004
0.0,523,428.390955
2.0,752,442.010856
3.0,1006,450.951289
0.0,539,456.515338
3.0,1010,468.404576
2.0,823,479.808875
2.0,810,486.980681
0.0,516,493.484998
2.0,844,504.812993
3.0,1020,517.096749
0.0,516,522.589611
0.0,521,528.116963
0.0,524,533.69367
0.0,532,539.300305
1.0,619,545.17388
2.0,810,551.65116
4.0,1216,567.48003
0.0,516,573.02878
5.0,1400,585.428525
4.0,1216,597.17624
2.0,838,607.678973
0.0,531,613.260837
0.0,527,618.809576
3.0,1000,630.010672
2.0,912,636.705898
5.0,1296,652.689921
2.0,807,662.184282
10.0,1682,679.578687
14.0,2018,701.94788
5.0,1498,718.66887
4.0,1063,729.920001
3.0,963,736.876977
1.0,716,747.010396
0.0,520,752.524738
13.0,1800,769.968644
8.0,1957,792.1325
1.0,735,802.896081
5.0,1219,816.858776
2.0,762,827.804243
4.0,1154,839.239356
0.0,532,844.786855
3.0,940,851.580834
7.0,1019,862.647034
17.0,2385,890.200639
5.0,1379,902.550163
3.0,1011,913.778922
2.0,835,924.382793
0.0,531,925.87849
4.0,1064,937.206949
9.0,1946,968.51996
10.0,1511,987.319106
7.0,1791,1006.578209
5.0,1313,1022.691026
2.0,844,1029.255341
4.0,1224,1041.117554
5.0,1434,1057.839292
9.0,2000,1080.185703
12.0,2084,1108.012796
4.0,1151,1119.634678
4.0,1331,1131.794425
5.0,1452,1148.288591
18.0,2364,1175.072237
8.0,1685,1198.153289
10.0,1495,1210.772674
13.0,1556,1227.685771
10.0,1911,1256.490201
17.0,2398,1280.161875
7.0,1814,1301.985936
13.0,1518,1318.666378
12.0,1211,1330.376607
12.0,2100,1354.364086
17.0,2410,1378.04599
14.0,2018,1406.987841
11.0,1688,1424.386909
19.0,2644,1452.906721
16.0,2230,1483.139651
11.0,1908,1504.234483
10.0,1939,1526.676425
18.0,2442,1559.967386
13.0,2218,1590.710081
7.0,1568,1608.196436
2.0,815,1614.763686
10.0,2146,1637.882198
12.0,2326,1666.321251
12.0,2202,1690.134973
12.0,2454,1719.730336
10.0,2109,1742.361563
18.0,2622,1770.782047
22.0,3210,1805.236199
10.0,2059,1827.75104
12.0,2473,1863.589407
12.0,2012,1885.870513
14.0,2210,1911.032704
4.0,1042,1925.963615
14.0,1611,1948.52885
18.0,2456,1982.430127
12.0,2267,2022.373159
10.0,2121,2045.150056
11.0,2232,2068.393243
19.0,2724,2097.164555
12.0,2064,2124.862448
11.0,1745,2143.805807
9.0,2038,2181.242732
16.0,2926,2225.674239
8.0,1796,2243.440772
17.0,2544,2271.742423
14.0,2325,2299.357505
21.0,2880,2328.519004
20.0,1954,2359.640572
10.0,2406,2383.236416
21.0,2704,2411.996035
14.0,2035,2434.445936
10.0,2140,2457.096059
14.0,1614,2474.32321
9.0,1694,2503.00274
17.0,1958,2521.137025
11.0,2395,2549.570639
9.0,1584,2566.572511
13.0,2058,2591.819854
9.0,1995,2611.638467
17.0,2316,2648.684214
17.0,2630,2678.198379
16.0,2368,2709.802638
19.0,2648,2742.996117
15.0,1710,2760.612043
16.0,2549,2789.033541
23.0,1921,2818.948112
14.0,2818,2851.940402
11.0,2198,2879.332114
12.0,1219,2893.665237
12.0,1223,2907.943425
17.0,2630,2941.074587
16.0,1911,2972.044801
16.0,1774,2989.717153
14.0,2735,3019.586257
13.0,1934,3049.282778
15.0,1763,3072.957111
13.0,1955,3096.562785
19.0,2718,3134.172363
11.0,2196,3157.202443
24.0,3261,3191.724946
15.0,2672,3224.463182
20.0,2858,3254.173129
22.0,3034,3296.70654
13.0,2226,3320.180876
14.0,1635,3337.357542
14.0,1651,3354.377893
18.0,2247,3377.797306
15.0,2434,3405.738479
11.0,1604,3430.937618
15.0,2256,3454.348304
21.0,2912,3487.639165
20.0,2758,3516.725776
22.0,2061,3539.313594
13.0,2494,3576.603513
18.0,2571,3605.251832
19.0,2522,3629.71573
14.0,2462,3657.729761
23.0,3069,3691.874208
16.0,2634,3729.168091
24.0,2986,3763.34285
19.0,2664,3792.324984
16.0,1838,3811.033426
15.0,2562,3839.062156
14.0,2364,3873.387612
13.0,2644,3901.580993
19.0,2928,3930.658643
18.0,2545,3958.598641
22.0,2724,3990.936069
11.0,1906,4031.559011
13.0,2126,4054.444247
19.0,2898,4088.497777
19.0,2556,4117.069044
15.0,2381,4146.255812
14.0,2110,4169.043245
